"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","direction"
"keratoconjunctivitis","keratoconjunctivitis","14/250","335/17907",0.0417910447761194,2.99340895522388,4.3824709612407,0.000274054140147216,0.00592932389657493,0.00436628630065056,"KRT1/KRT10/IQGAP1/KRT14/KRT15/CCR3/MPO/KCNAB2/FSCN1/LGALS9/CRYZ/TTR/IGFBP7/HPX",14,"up"
"Thrombophilia","Thrombophilia","3/250","10/17907",0.3,21.4884,7.71132063270236,0.000300068299276922,0.00643759973154606,0.00474057481210599,"SERPINC1/PLG/F2",3,"up"
"leukocyte adhesion deficiency","leukocyte adhesion deficiency","7/250","92/17907",0.0760869565217391,5.44995652173913,5.09175623611605,0.000303675805132002,0.00645930330469776,0.00475655707513976,"MSN/RDX/EZR/PKM/PGK1/MPO/TLN1",7,"up"
"brain edema","brain edema","10/250","187/17907",0.053475935828877,3.8303743315508,4.62960200456041,0.000306140109623357,0.00645930330469776,0.00475655707513976,"SLC2A1/KNG1/TFRC/ASS1/FABP3/HSPA1A/MPO/PLG/F2/MYL12B",10,"up"
"low tension glaucoma","low tension glaucoma","8/250","122/17907",0.0655737704918033,4.69691803278689,4.875325741483,0.000316053010360977,0.0065650435294162,0.004834422967216,"RDX/KNG1/RAB12/TFRC/APOE/RPGRIP1/PADI2/TPT1",8,"up"
"factor xii deficiency","factor xii deficiency","4/250","24/17907",0.166666666666667,11.938,6.38019845410048,0.000316294694131685,0.0065650435294162,0.004834422967216,"KNG1/SERPINC1/PLG/F2",4,"up"
"dengue hemorrhagic fever","dengue hemorrhagic fever","8/250","123/17907",0.0650406504065041,4.65873170731707,4.84483767681477,0.000334033370713586,0.00682229756345428,0.00502386189553233,"HNRNPK/SERPINE1/SERPINC1/LGALS9/PRDX4/PLG/F2/RAB18",8,"up"
"hemolytic-uremic syndrome","hemolytic-uremic syndrome","8/250","123/17907",0.0650406504065041,4.65873170731707,4.84483767681477,0.000334033370713586,0.00682229756345428,0.00502386189553233,"HP/RPS3/SERPINC1/CFHR1/PLG/FGB/F2/HPX",8,"up"
"aortic aneurysm","aortic aneurysm","13/250","302/17907",0.043046357615894,3.08332450331126,4.34463418036069,0.00034054335195654,0.00686449415821743,0.00505493498529133,"ACTA1/HP/PPIA/SERPINE1/CTSB/DSTN/SERPINC1/APOE/MPO/BNIP1/PLG/F2/MYL12B",13,"up"
"keratosis follicularis","keratosis follicularis","6/250","67/17907",0.0895522388059701,6.41444776119403,5.28329645285468,0.000341476991027659,0.00686449415821743,0.00505493498529133,"KRT1/KRT10/KRT4/KRT13/VCL/PLG",6,"up"
"babesiosis","babesiosis","7/250","94/17907",0.074468085106383,5.334,5.0129703479337,0.000346551497355455,0.00691207791209748,0.00508997511740825,"HP/PPIA/PKM/RPLP2/SERPINC1/NCR1/F2",7,"up"
"middle ear disease","middle ear disease","16/250","428/17907",0.0373831775700935,2.67768224299065,4.18007560669736,0.000356462176191564,0.00705463516137257,0.0051949526452724,"HSP90B1/PRDX2/KRT1/KRT10/KRT4/KNG1/HP/TFRC/CTSB/KRT14/KRT13/PGK1/MPO/CFHR1/PLG/HPX",16,"up"
